FECHA;CARRIER_ORIGEN;RUTA_ORIGEN;ASR_REAL;CALLS_TOTAL;CALLS_OK;MINUTOS;AVG_CALL
2026-06-05;TELESERVICIOS Y MARKETING SRL;751349-ENT;34,27;349;49;112,33;2,29
2026-06-05;BHN SEGUROS GENERALES S.A.;2114298-ENT;88,16;337;67;48,75;0,73
2026-06-05;CITYTECH SA;1893711-ENT;70,27;322;78;213,65;2,74
2026-06-05;TECNOLOGIA Y TELECOMUNICACIONES IP S.R.L;2114564-ENT;96,45;321;299;664,63;2,22
2026-06-05;ORANGE BUSINESS SERVICES ARGENTINA SA;1874623-ENT;96,05;317;243;770,3;3,17
2026-06-05;TELECOM ARGENTINA S.A.;POI-GGUAYCHU-SIP-ENT;99,01;314;301;231,97;0,77
2026-06-05;TELECOM ARGENTINA S.A.;POI-CRRNTES-SIP-ENT;95,45;277;21;86,72;4,13
2026-06-05;CISTECH S.R.L.;1806855-ENT;91,36;271;201;466,1;2,32
2026-06-05;TELEPROM ARGENTINA S.A.;1702596-ENT;21,21;267;28;24,7;0,88
2026-06-05;FANDI?O MARIA VALERIA;1614519-ENT;43,94;255;29;19,18;0,66
2026-06-05;INDICOM S.A.;2542186-Px8-ENT;86,11;255;186;180,23;0,97
2026-06-05;NUBICOM S.R.L.;1950424-ENT;95,59;253;195;180,07;0,92
2026-06-05;ORBITH S.A;1848095-ENT;90,79;223;138;184,47;1,34
2026-06-05;TRIMOTION S.R.L.;1531643-ENT;98,9;221;180;322,08;1,79
2026-06-05;2030 TELECOMUNICACIONES S.A.;375045-ENT;83,1;202;59;84,97;1,44
2026-06-05;BM SOLUCIONES S.R.L;1807739-ENT;92,67;185;139;105,73;0,76
2026-06-05;TELECOM ARGENTINA S.A.;POI-RESTNCIA-SIP-ENT;70;185;21;81,05;3,86
2026-06-05;SIETE CAPAS;2817020-ENT;77,52;174;100;172,8;1,73
2026-06-05;MENTAWAI S.R.L.;666803-ENT;82,76;172;120;143,32;1,19
2026-06-05;DIRECTV ARGENTINA SOCIEDAD ANONIMA;2121704-ENT;96,9;162;125;179,95;1,44
2026-06-05;IPLAN INTERNATIONAL BUSINESS INC.;NEW-CALL-DKUSA-ENT;75;148;69;49,12;0,71
2026-06-05;DARCOM S.A.;1932372-ENT;95;147;95;289,98;3,05
2026-06-05;EXXONMOBIL BUSINESS SUPPORT CENTER ARGENTINA SRL;EXXON-ENT;83;137;83;294,77;3,55
2026-06-05;SUIVANT SA;13092371-SUIVANT-ENT;98,18;123;54;15,12;0,28
2026-06-05;BUENOS AIRES CALL SA;2067132-ENT;66,33;116;65;90,3;1,39
2026-06-05;T V FUEGO SOCIEDAD ANONIMA;433670-ENT;92,71;116;89;108,53;1,22
2026-06-05;IP-TEL S.A.;396279-ENT;72,55;108;37;105,08;2,84
