FECHA;CARRIER_DESTINO;RUTA_DESTINO;ASR_REAL;CALLS_TOTAL;CALLS_OK;MINUTOS;AVG_CALL
2026-06-07;NSS S.A.;148049-NAVA-SAL;100;12;12;15,4;1,28
2026-06-07;SOLUCIONES DE CONTACTO SA;737629Wise-SAL;100;12;12;2,22;0,18
2026-06-07;PAKTAR S R L;PAKTAR-DID-SAL;100;12;12;58,93;4,91
2026-06-07;SIETE CAPAS;2817020-SAL;100;12;12;46,4;3,87
2026-06-07;COOPERATIVA DE ELECTRICIDAD, SERVICIOS Y OBRAS PUBLICAS DE SAN BERNARDO LTDA;SANBER-LD-SAL;100;11;11;13,72;1,25
2026-06-07;BHN SEGUROS GENERALES S.A.;BHN-DID-SAL;100;11;11;51,92;4,72
2026-06-07;CAT TECHNOLOGIES ARGENTINA SOCIEDAD ANONIMA;CAT-DID-17617-SAL;100;11;9;0,65;0,07
2026-06-07;NEXT LATINOAMERICA SA;1726433-SAL;0;10;0;0;0
2026-06-07;IPLAN INTERNATIONAL BUSINESS INC.;13093126-VIN-SAL;0;10;0;0;0
2026-06-07;CLIENTING GROUP S A;CLIENTING-DID-SAL;100;9;9;2,77;0,31
2026-06-07;SOLUCIONES DE CONTACTO SA;737629-SAL;100;9;8;1,33;0,17
2026-06-07;TRIMOTION S.R.L.;664647-SAL;100;9;9;4,67;0,52
2026-06-07;NSS S.A.;1618415-HOTEL GU-SAL;100;8;8;9,8;1,23
2026-06-07;IMPRUNETA S.A;1586407-SAL;100;8;8;15,97;2
2026-06-07;MAGALAJO S.A.;MAGALAJO-DID-SAL;0;7;0;0;0
2026-06-07;EXXONMOBIL BUSINESS SUPPORT CENTER ARGENTINA SRL;13092369-SAL;100;7;3;12,27;4,09
2026-06-07;OP COMUNICACIONES FLEXIBLES;13089526-SAL;0;7;0;0;0
2026-06-07;CORDIAL COLLECTIONS S.A;1599013-SAL;100;6;6;1,23;0,21
2026-06-07;CLUB ATLETICO RIVER PLATE ASOCIACION CIVIL;13096388-SAL;100;6;5;1,47;0,29
2026-06-07;NSS S.A.;65796-CIMA-SAL;100;6;6;9,18;1,53
2026-06-07;STRATTON NEA S.A.;1653146-SAL;100;6;6;1,08;0,18
2026-06-07;MO & PC COLLECTIONS ARGENTINA;1517615-SAL;100;6;4;2,57;0,64
2026-06-07;IPLAN INTERNATIONAL BUSINESS INC.;DIDWW-800-DK-SAL;80;6;4;3,8;0,95
2026-06-07;CIPE SOLUTIONS S.A;1526379-SAL;100;6;6;3,87;0,64
2026-06-07;NSS S.A.;1411852-ASOCIAC-SAL;100;5;4;0,95;0,24
2026-06-07;IFX NETWORKS SA;433015-SAL;100;5;5;13,23;2,65
2026-06-07;GESTIVA S.A;670765-SAL;100;5;5;1,07;0,21
2026-06-07;SERVICIO SATELITAL S.A.;SERVSAT-SAL;75;5;3;4,32;1,44
2026-06-07;DISTRESSED ASSETS SA;199802-SAL;0;5;0;0;0
